ZAYOGA GENERAL TRADING-SOLE PROPRIETORSHIP LLC -,,,,,,,,,,,,,
Invoice,,,,,,,,,,,,,
,,,SALES,,REF,,PO,,,,,,
#,TYPE,SALES NO,PERSON,CUSTOMER NAME,NO,REMARKS,NUMBER,DATE,STATUS,AMOUNT,REC AMT,BAL AMT,ACTION
1,Credit,INV0001,VIMAL,IDUKKI GOLD,,,,25-,Unpaid,1340.06,1227,113.06,
,,,PRATHAP,RESTURANT BR2,,,,10-,,,,,
,,,,,,,,2025,,,,,
2,Cash,INV0002,VIMAL,DEEBHA,,,,03-,Paid,0,0,0,
,,,PRATHAP,RESTAURANTVLLC,,,,11-,,,,,
,,,,OPC,,,,2025,,,,,
3,Cash,INV0003,VIMAL,MAMAS CUSINE,,,,03-,Paid,0,0,0,
,,,PRATHAP,CATERING SOLE,,,,11-,,,,,
,,,,PRO LLC,,,,2025,,,,,
4,Cash,INV0004,VIMAL,CALICUT,,,,03-,Paid,0,0,0,
,,,PRATHAP,PARADISE,,,,11-,,,,,
,,,,RESTAURANT,,,,2025,,,,,
5,Credit,INV0005,VIMAL,PAYYANNUR,,,,03-,Paid,336,336,0,
,,,PRATHAP,RESTAURANT BR2,,,,11-,,,,,
,,,,,,,,2025,,,,,
6,Cash,INV0006,VIMAL,SWEET WORLD,,,,04-,Paid,0,0,0,
,,,PRATHAP,GENERAL,,,,11-,,,,,
,,,,TRADING LLC,,,,2025,,,,,
7,Cash,INV0007,VIMAL,ANRA,,,,04-,Paid,340,340,0,
,,,PRATHAP,ASSOCIATION,,,,11-,,,,,
,,,,,,,,2025,,,,,
8,Cash,INV0008,VIMAL,PANDIYAN BROS,,,,04-,Paid,0,0,0,
,,,PRATHAP,RESTAURANT,,,,11-,,,,,
,,,,,,,,2025,,,,,
9,Cash,INV0009,VIMAL,TIRUR JUNCTION,,,,04-,Paid,0,0,0,
,,,PRATHAP,RESTAURANT AND,,,,11-,,,,,
,,,,GRILLS LLC,,,,2025,,,,,
10,Credit,INV0010,VIMAL,BLUE STAR,,,,04-,Unpaid,168,0,168,
,,,PRATHAP,SCHOOL BUS,,,,11-,,,,,
,,,,TRANSPORTATION,,,,2025,,,,,
11,Cash,INV0011,VIMAL,FRESH SAMOVER,,,,06-,Paid,52,52,0,
,,,PRATHAP,,,,,11-,,,,,
,,,,,,,,2025,,,,,
12,Cash,INV0012,VIMAL,PANOOR,,,,10-,Paid,414,414,0,
,,,PRATHAP,RESTAURANT LLC,,,,11-,,,,,
,,,,,,,,2025,,,,,
13,Cash,INV0013,VIMAL,GREAT RASOI,,,,12-,Paid,0,0,0,
,,,PRATHAP,RESTAURANT,,,,11-,,,,,
,,,,,,,,2025,,,,,
14,Cash,INV0014,VIMAL,HOUSE BOAT,,,,12-,Paid,0,0,0,
,,,PRATHAP,RESTAURANT,,,,11-,,,,,
,,,,SOLE,,,,2025,,,,,
,,,,PROPRIETORS,,,,,,,,,
,,,,LLC,,,,,,,,,
15,Cash,INV0015,VIMAL,GODAVARI,,,,12-,Paid,0,0,0,
,,,PRATHAP,RESTURANT LLC,,,,11-,,,,,
,,,,,,,,2025,,,,,
,,,SALES,,REF,,PO,,,,,,
#,TYPE,SALES NO,PERSON,CUSTOMER NAME,NO,REMARKS,NUMBER,DATE,STATUS,AMOUNT,REC AMT,BAL AMT,ACTION
16,Cash,INV0016,VIMAL,DINE OUT,,,,12-,Paid,0,0,0,
,,,PRATHAP,RESTAURANT,,,,11-,,,,,
,,,,,,,,2025,,,,,
17,Credit,INV0017,VIMAL,MALABAR MAGIC,,,,13-,Paid,176,176,0,
,,,PRATHAP,RESTAURANT,,,,11-,,,,,
,,,,,,,,2025,,,,,
18,Cash,INV0018,VIMAL,CALICUT,,,,13-,Paid,157,157,0,
,,,PRATHAP,PARADISE,,,,11-,,,,,
,,,,RESTAURANT,,,,2025,,,,,
19,Cash,INV0019,VIMAL,FRESH SAMOVER,,,,13-,Paid,79,79,0,
,,,PRATHAP,,,,,11-,,,,,
